creation_date,n_uploaded,n_later_edited,n_added_to_2mo
2003-01-04,1,1,0
2004-04-12,1,1,0
2004-04-20,1,1,0
2004-06-22,1,1,0
2004-08-04,1,1,0
2004-08-19,1,1,1
2004-09-07,2,2,2
2004-09-08,32,32,6
2004-09-09,6,6,4
2004-09-10,41,41,20
2004-09-11,26,26,17
2004-09-12,27,27,12
2004-09-13,20,20,14
2004-09-14,39,39,21
2004-09-15,28,28,9
2004-09-16,12,12,2
2004-09-17,88,88,7
2004-09-18,32,32,9
2004-09-19,63,63,7
2004-09-20,18,18,1
2004-09-21,4,4,3
2004-09-23,19,19,9
2004-09-24,55,55,16
2004-09-25,81,81,16
2004-09-26,32,32,6
2004-09-27,35,35,9
2004-09-28,6,6,6
2004-09-29,95,95,95
2004-09-30,5,5,5
2004-10-01,2,2,2
2004-10-02,2,2,2
2004-10-03,4,4,2
2004-10-05,26,26,0
2004-10-06,11,11,1
2004-10-07,16,16,2
2004-10-08,1,1,0
2004-10-09,61,61,8
2004-10-10,9,9,2
2004-10-11,12,12,1
2004-10-12,7,7,0
2004-10-13,3,3,3
2004-10-14,56,56,2
2004-10-15,4,4,4
2004-10-17,1,1,1
2004-10-19,21,21,3
2004-10-20,12,12,2
2004-10-21,2,2,2
2004-10-22,20,20,20
2004-10-23,31,31,5
2004-10-24,8,8,3
2004-10-25,14,14,9
2004-10-26,268,268,7
2004-10-27,1825,1825,8
2004-10-28,1947,1947,26
2004-10-29,425,425,4
2004-10-30,157,157,20
2004-10-31,50,50,36
2004-11-01,74,74,68
2004-11-02,52,52,30
2004-11-03,108,108,93
2004-11-04,106,106,88
2004-11-05,100,100,48
2004-11-06,78,78,73
2004-11-07,88,88,76
2004-11-08,125,125,103
2004-11-09,163,163,101
2004-11-10,145,145,119
2004-11-11,150,150,133
2004-11-12,161,161,96
2004-11-13,220,220,128
2004-11-14,204,204,137
2004-11-15,168,168,130
2004-11-16,184,184,137
2004-11-17,153,153,113
2004-11-18,86,86,71
2004-11-19,171,171,136
2004-11-20,147,147,118
2004-11-21,271,271,161
2004-11-22,107,107,87
2004-11-23,150,150,130
2004-11-24,197,197,94
2004-11-25,102,102,73
2004-11-26,270,270,230
2004-11-27,242,242,162
2004-11-28,192,192,141
2004-11-29,202,202,142
2004-11-30,164,164,126
2004-12-01,139,139,97
2004-12-02,243,243,155
2004-12-03,164,164,133
2004-12-04,192,192,144
2004-12-05,210,210,149
2004-12-06,263,263,244
2004-12-07,154,154,126
